id,department,priority,status,staff_id,created_at,resolved_at,complexity
42,ICU,High,Resolved,22,2025-07-06 01:12:19.204340,2025-07-06 06:54:52.027732,10
43,PEDS,High,Resolved,66,2025-11-18 05:51:19.204340,2025-11-18 09:36:35.271412,2
44,CARD,Medium,Resolved,104,2025-09-14 04:14:19.204340,2025-09-14 14:38:35.297560,9
45,OPD,High,Resolved,56,2025-08-27 22:34:19.204340,2025-08-28 02:49:48.162922,2
46,CARD,Low,Resolved,103,2025-10-14 04:00:19.204340,2025-10-15 03:53:01.841164,8
47,SURG,Medium,Resolved,35,2025-11-15 22:02:19.204340,2025-11-16 06:44:24.324388,5
48,ICU,Low,Resolved,23,2025-03-10 03:50:19.204340,2025-03-12 01:50:19.358207,1
49,OPD,Medium,Resolved,57,2025-07-10 10:22:19.204340,2025-07-10 11:32:27.946131,8
50,OPD,Low,Resolved,46,2025-08-03 05:51:19.204340,2025-08-04 00:52:41.919245,10
51,CARD,High,Resolved,93,2025-10-30 01:18:19.204340,2025-10-30 03:49:06.103541,4
52,ICU,Low,Resolved,19,2025-08-01 08:43:19.204340,2025-08-02 00:44:53.991710,6
53,CARD,Medium,Resolved,103,2026-02-19 02:52:19.204340,2026-02-19 10:27:50.927574,5
54,CARD,Low,Resolved,99,2026-02-16 05:08:19.204340,2026-02-16 20:50:58.863830,5
55,ICU,Medium,Resolved,25,2025-08-26 18:31:19.204340,2025-08-27 01:38:37.385261,5
56,ICU,Low,Resolved,30,2026-01-10 21:27:19.204340,2026-01-12 07:05:26.925578,7
57,ER,Medium,Resolved,14,2026-01-29 04:29:19.204340,2026-01-29 13:48:42.806996,6
58,ER,Medium,Resolved,4,2026-01-20 03:20:19.204340,2026-01-20 16:52:42.399781,9
59,SURG,Low,Resolved,42,2025-12-11 02:56:19.204340,2025-12-12 16:27:48.840790,1
60,ICU,Low,Resolved,20,2026-01-11 02:59:19.204340,2026-01-11 21:27:08.733720,5
61,SURG,High,Resolved,41,2026-02-22 04:49:19.204340,2026-02-22 08:11:57.906969,5
62,ICU,Medium,Resolved,28,2025-03-07 04:06:19.204340,2025-03-07 12:05:36.392955,8
63,SURG,Low,Resolved,36,2025-03-15 01:28:19.204340,2025-03-15 21:25:01.737714,10
64,SURG,Low,Resolved,43,2025-08-30 08:55:19.204340,2025-08-31 11:37:32.148743,5
65,CARD,Medium,Resolved,94,2025-10-18 04:32:19.204340,2025-10-18 21:01:08.919500,10
66,ICU,Medium,Resolved,20,2025-04-23 04:21:19.204340,2025-04-24 08:02:40.419145,8
67,PEDS,Medium,Resolved,68,2025-09-30 06:11:19.204340,2025-09-30 23:01:32.073012,1
68,SURG,Medium,Resolved,41,2025-08-12 05:05:19.204340,2025-08-12 18:05:18.092439,8
69,PEDS,Medium,Resolved,72,2025-11-27 16:44:19.204340,2025-11-27 21:57:27.586483,4
70,CARD,High,Resolved,91,2025-04-01 01:18:19.204340,2025-04-01 06:05:17.692897,3
71,ER,Medium,Resolved,11,2025-05-24 02:50:19.204340,2025-05-24 11:02:33.338844,10
72,ICU,Medium,Resolved,21,2025-10-09 03:04:19.204340,2025-10-10 07:32:52.697554,4
73,RAD,Low,Resolved,88,2025-03-14 02:47:19.204340,2025-03-15 00:59:07.885423,8
74,OPD,Medium,Resolved,56,2026-01-29 02:45:19.204340,2026-01-29 14:53:17.156083,2
75,SURG,High,Resolved,39,2025-09-04 23:12:19.204340,2025-09-05 02:01:30.010512,6
76,PEDS,High,Resolved,75,2025-03-07 05:41:19.204340,2025-03-07 09:21:12.038130,8
77,RAD,Medium,Resolved,81,2025-12-31 06:28:19.204340,2025-12-31 19:54:13.187261,10
78,ICU,Low,Resolved,27,2025-12-22 06:38:19.204340,2025-12-23 15:22:35.232727,8
79,ER,Low,Resolved,11,2025-12-15 03:25:19.204340,2025-12-16 20:09:18.874181,7
80,OPD,Low,Resolved,54,2026-01-26 08:59:19.204340,2026-01-28 00:23:48.673613,9
81,ICU,Medium,Resolved,19,2025-07-11 05:30:19.204340,2025-07-11 12:59:53.026948,1
82,SURG,Medium,Resolved,41,2025-06-30 11:05:19.204340,2025-07-01 03:31:41.719381,5
83,ICU,Medium,Resolved,27,2025-10-22 23:07:19.204340,2025-10-23 06:23:45.230448,4
84,ER,Medium,Resolved,5,2025-10-24 03:37:19.204340,2025-10-24 16:10:01.188006,7
85,SURG,Medium,Resolved,35,2025-10-05 00:32:19.204340,2025-10-05 10:26:25.084845,7
86,ICU,Medium,Resolved,16,2026-01-18 07:16:19.204340,2026-01-18 12:59:04.415275,5
87,ER,High,Resolved,10,2025-09-20 06:03:19.204340,2025-09-20 09:22:05.400605,1
88,OPD,Low,Resolved,54,2025-12-12 05:16:19.204340,2025-12-14 13:18:40.911099,2
89,OPD,Medium,Resolved,46,2025-05-15 03:15:19.204340,2025-05-15 16:02:58.466151,6
90,PEDS,High,Resolved,64,2025-03-15 01:32:19.204340,2025-03-15 04:17:48.920822,7
91,PEDS,Low,Resolved,65,2025-10-25 07:18:19.204340,2025-10-26 15:39:37.383819,9
92,ER,Medium,Resolved,9,2025-11-18 08:11:19.204340,2025-11-18 16:02:32.850087,2
93,CARD,Medium,Resolved,94,2025-08-25 03:03:19.204340,2025-08-26 04:41:29.063223,10
94,ICU,Low,Resolved,23,2025-05-13 09:48:19.204340,2025-05-14 06:58:46.706902,9
95,CARD,Medium,Resolved,91,2025-07-16 05:13:19.204340,2025-07-17 04:34:50.066042,9
96,ICU,Medium,Resolved,27,2025-07-10 06:33:19.204340,2025-07-11 01:44:02.998741,5
97,ICU,Medium,Resolved,28,2026-02-09 23:59:19.204340,2026-02-10 08:18:21.386909,2
98,ER,High,Resolved,6,2025-06-08 10:51:19.204340,2025-06-08 20:34:54.736665,4
99,SURG,High,Resolved,40,2025-05-13 03:02:19.204340,2025-05-13 10:04:50.335723,10
100,PEDS,Medium,Resolved,66,2025-04-18 19:49:19.204340,2025-04-19 20:48:10.983112,2
101,OPD,High,Resolved,53,2025-08-22 03:53:19.204340,2025-08-22 06:39:14.125879,9
102,PEDS,Low,Resolved,73,2025-11-30 08:20:19.204340,2025-12-02 05:20:56.608012,4
103,PEDS,Medium,Resolved,68,2025-04-15 04:18:19.204340,2025-04-15 12:12:39.087714,6
104,CARD,Low,Resolved,95,2026-02-06 07:10:19.204340,2026-02-07 23:07:52.701413,9
105,CARD,High,Resolved,96,2025-10-23 04:11:19.204340,2025-10-23 11:17:39.389718,6
106,PEDS,High,Resolved,63,2025-08-18 04:48:19.204340,2025-08-18 09:27:02.063013,9
107,ICU,Medium,Resolved,24,2026-02-16 04:59:19.204340,2026-02-16 23:33:02.565177,1
108,RAD,Low,Resolved,84,2025-06-17 04:08:19.204340,2025-06-18 17:49:49.371102,7
109,OPD,Low,Resolved,55,2025-12-27 04:20:19.204340,2025-12-28 05:16:46.436271,4
110,RAD,Medium,Resolved,76,2025-10-01 07:16:19.204340,2025-10-01 13:16:51.297313,5
111,PEDS,High,Resolved,72,2025-10-23 23:35:19.204340,2025-10-24 07:08:52.075437,8
112,PEDS,Low,Resolved,64,2025-11-20 20:51:19.204340,2025-11-21 11:38:18.536720,7
113,ICU,Medium,Resolved,30,2025-10-05 23:55:19.204340,2025-10-06 12:27:21.962137,10
114,SURG,Medium,Resolved,45,2025-09-20 05:26:19.204340,2025-09-20 08:45:11.987434,10
115,ICU,Low,Resolved,30,2025-04-19 23:52:19.204340,2025-04-21 07:23:51.470563,5
116,RAD,Medium,Resolved,87,2025-09-07 05:29:19.204340,2025-09-07 16:37:45.948159,3
117,ICU,Low,Resolved,18,2026-01-13 22:01:19.204340,2026-01-14 02:49:13.713775,8
118,CARD,Low,Resolved,92,2025-05-29 07:05:19.204340,2025-05-31 00:53:21.576172,1
119,PEDS,High,Resolved,75,2025-07-18 00:21:19.204340,2025-07-18 01:00:16.017466,3
120,ICU,Medium,Resolved,25,2025-10-04 05:05:19.204340,2025-10-05 00:52:24.510413,6
121,PEDS,Low,Resolved,74,2025-08-15 18:58:19.204340,2025-08-17 05:21:10.739465,6
122,SURG,Medium,Resolved,31,2025-04-15 01:29:19.204340,2025-04-15 11:58:34.682171,10
123,ER,Low,Resolved,7,2025-09-21 03:27:19.204340,2025-09-22 05:11:37.773965,4
124,ER,Medium,Resolved,3,2025-04-03 04:26:19.204340,2025-04-03 15:01:29.855322,10
125,ER,Low,Resolved,12,2025-08-10 05:23:19.204340,2025-08-11 07:55:59.872296,3
126,CARD,High,Resolved,94,2026-01-30 17:52:19.204340,2026-01-30 21:07:34.182500,2
127,SURG,Medium,Resolved,41,2025-06-11 23:07:19.204340,2025-06-12 19:03:39.649297,5
128,PEDS,Low,Resolved,68,2026-02-28 04:53:19.204340,2026-03-01 14:46:10.304375,10
129,OPD,Medium,Resolved,55,2026-01-05 23:05:19.204340,2026-01-06 05:05:12.435227,10
130,ICU,Medium,Resolved,24,2025-08-27 22:45:19.204340,2025-08-28 08:45:08.930549,9
131,PEDS,Medium,Resolved,73,2025-05-07 02:05:19.204340,2025-05-07 06:13:21.538402,10
132,RAD,Medium,Resolved,81,2025-05-16 01:56:19.204340,2025-05-16 07:12:13.725041,3
133,ICU,Low,Resolved,25,2026-01-23 08:11:19.204340,2026-01-23 18:29:05.256633,9
134,OPD,Medium,Resolved,59,2025-08-27 06:06:19.204340,2025-08-28 03:41:50.159471,7
135,SURG,Low,Resolved,35,2025-11-03 00:34:19.204340,2025-11-03 23:53:03.111655,3
136,RAD,Low,Resolved,77,2026-02-13 09:49:19.204340,2026-02-14 17:07:34.448523,10
137,ER,Medium,Resolved,10,2025-09-28 03:16:19.204340,2025-09-28 10:47:19.763431,3
138,ER,Medium,Resolved,7,2025-06-08 05:30:19.204340,2025-06-08 19:05:25.161554,8
139,RAD,Medium,Resolved,84,2025-11-30 06:49:19.204340,2025-11-30 19:34:52.070852,5
140,ICU,Medium,Resolved,17,2025-07-28 04:35:19.204340,2025-07-28 15:37:03.124006,5
141,SURG,Low,Resolved,31,2025-07-02 04:20:19.204340,2025-07-04 00:06:58.761064,9
142,OPD,Medium,Resolved,53,2025-08-18 09:08:19.204340,2025-08-18 23:14:35.761494,6
143,ER,Medium,Resolved,4,2025-07-12 00:41:19.204340,2025-07-12 04:20:27.738619,6
144,RAD,Low,Resolved,90,2025-05-30 23:30:19.204340,2025-06-02 13:43:02.446436,8
145,ICU,Low,Resolved,30,2025-04-18 00:26:19.204340,2025-04-19 11:03:19.503205,4
146,ER,High,Resolved,15,2025-07-27 01:05:19.204340,2025-07-27 05:51:08.577389,7
147,ICU,Medium,Resolved,22,2025-04-27 00:23:19.204340,2025-04-27 19:35:58.567271,8
148,PEDS,Low,Resolved,64,2025-12-25 01:36:19.204340,2025-12-27 14:21:52.871331,2
149,ICU,High,Resolved,30,2026-02-08 16:36:19.204340,2026-02-08 22:27:08.969178,9
150,OPD,Medium,Resolved,59,2025-08-23 03:19:19.204340,2025-08-23 13:35:28.594126,9
151,PEDS,Low,Resolved,74,2025-12-31 11:09:19.204340,2026-01-02 01:50:05.559390,4
152,PEDS,Low,Resolved,68,2026-01-23 04:42:19.204340,2026-01-24 03:34:56.957346,7
153,ICU,Low,Resolved,27,2025-06-16 09:48:19.204340,2025-06-17 05:19:11.865031,7
154,CARD,Medium,Resolved,101,2025-11-09 09:15:19.204340,2025-11-09 23:08:50.773744,4
155,CARD,Medium,Resolved,92,2025-03-24 05:40:19.204340,2025-03-25 02:57:58.979296,1
156,CARD,Medium,Resolved,92,2025-05-16 20:50:19.204340,2025-05-17 18:27:55.247698,6
157,RAD,High,Resolved,80,2025-11-15 07:54:19.204340,2025-11-15 11:10:36.368373,3
158,CARD,Low,Resolved,100,2025-09-12 02:08:19.204340,2025-09-13 23:52:40.729829,10
159,OPD,Low,Resolved,54,2026-02-05 04:35:19.204340,2026-02-05 21:29:29.122573,10
160,CARD,Medium,Resolved,104,2025-03-14 01:24:19.204340,2025-03-14 09:55:30.567219,10
161,ER,Low,Resolved,11,2025-08-05 05:10:19.204340,2025-08-07 00:05:35.537666,5
162,SURG,Medium,Resolved,39,2025-07-01 01:30:19.204340,2025-07-01 18:25:00.368626,2
163,SURG,High,Resolved,39,2025-11-21 23:29:19.204340,2025-11-22 00:30:21.268113,7
164,ICU,Medium,Resolved,21,2025-08-14 07:59:19.204340,2025-08-14 19:52:48.564122,8
165,SURG,Medium,Resolved,32,2025-03-08 22:00:19.204340,2025-03-09 07:05:24.694754,8
166,OPD,Low,Resolved,55,2025-09-10 07:41:19.204340,2025-09-11 21:57:58.032435,3
167,CARD,Medium,Resolved,104,2025-12-19 04:57:19.204340,2025-12-19 18:05:28.163187,10
168,OPD,Medium,Resolved,56,2025-05-21 19:38:19.204340,2025-05-22 15:19:31.987583,8
169,PEDS,Low,Resolved,67,2026-01-29 04:30:19.204340,2026-01-31 19:11:38.780623,10
170,ICU,High,Resolved,28,2025-05-10 00:43:19.204340,2025-05-10 13:29:05.457200,9
171,SURG,Low,Resolved,42,2026-01-07 08:12:19.204340,2026-01-07 17:33:46.858016,7
172,CARD,Low,Resolved,103,2025-08-19 22:07:19.204340,2025-08-20 16:49:52.174928,9
173,CARD,Medium,Resolved,102,2025-11-26 08:21:19.204340,2025-11-26 20:36:42.598522,2
174,CARD,Medium,Resolved,94,2025-05-18 04:08:19.204340,2025-05-18 15:10:14.900113,9
175,PEDS,Low,Resolved,70,2026-02-18 04:37:19.204340,2026-02-19 06:20:51.829605,3
176,ER,Low,Resolved,6,2025-11-16 05:36:19.204340,2025-11-19 00:49:31.532015,7
177,ICU,Low,Resolved,24,2025-07-01 08:46:19.204340,2025-07-02 10:08:14.079046,5
178,RAD,Medium,Resolved,84,2025-12-06 00:00:19.204340,2025-12-06 08:42:32.887912,1
179,CARD,Low,Resolved,100,2025-07-23 21:44:19.204340,2025-07-25 01:22:35.373006,8
180,OPD,Medium,Resolved,60,2025-07-10 07:31:19.204340,2025-07-10 19:56:00.658400,5
181,CARD,Medium,Resolved,97,2025-06-15 19:37:19.204340,2025-06-16 04:53:58.864233,8
182,ER,Medium,Resolved,5,2025-06-14 19:49:19.204340,2025-06-15 12:30:29.831290,4
183,RAD,Medium,Resolved,77,2025-04-09 04:27:19.204340,2025-04-09 20:10:22.276599,8
184,ER,Low,Resolved,4,2025-06-23 23:57:19.204340,2025-06-25 06:35:30.998913,1
185,SURG,Low,Resolved,36,2025-03-20 03:50:19.204340,2025-03-21 15:20:09.803117,2
186,ICU,Low,Resolved,24,2025-11-24 00:36:19.204340,2025-11-25 08:13:58.041693,3
187,OPD,Medium,Resolved,57,2025-08-06 06:33:19.204340,2025-08-06 16:31:00.908198,4
188,CARD,Medium,Resolved,101,2025-03-29 04:36:19.204340,2025-03-29 11:10:01.227891,6
189,RAD,Low,Resolved,84,2025-04-29 08:50:19.204340,2025-04-30 00:12:18.140910,2
190,RAD,Low,Resolved,83,2026-02-17 22:49:19.204340,2026-02-18 12:32:41.418477,6
191,PEDS,Medium,Resolved,72,2025-12-04 21:55:19.204340,2025-12-05 05:15:27.087739,5
192,ICU,Low,Resolved,25,2025-10-21 13:36:19.204340,2025-10-22 23:35:18.846570,5
193,SURG,Medium,Resolved,37,2026-01-23 02:21:19.204340,2026-01-23 16:43:15.993937,1
194,ICU,Low,Resolved,16,2026-02-16 05:51:19.204340,2026-02-16 21:02:47.838277,5
195,RAD,Low,Resolved,85,2025-08-20 01:13:19.204340,2025-08-21 11:12:53.196912,6
196,SURG,Low,Resolved,35,2025-11-29 03:05:19.204340,2025-11-30 07:25:44.183004,4
197,RAD,Medium,Resolved,89,2025-10-20 02:45:19.204340,2025-10-20 06:30:56.957196,3
198,ER,High,Resolved,2,2025-10-05 05:35:19.204340,2025-10-05 10:44:46.062675,6
199,RAD,Medium,Resolved,85,2025-08-20 06:59:19.204340,2025-08-20 20:53:34.825214,3
200,ER,Medium,Resolved,5,2025-03-26 02:22:19.204340,2025-03-26 07:45:08.043915,7
201,ER,Low,Resolved,4,2026-02-09 09:36:19.204340,2026-02-11 09:36:51.861438,7
202,RAD,Medium,Resolved,81,2025-06-08 23:23:19.204340,2025-06-09 07:34:57.934109,2
203,OPD,Low,Resolved,54,2025-09-12 12:30:19.204340,2025-09-13 09:10:17.334800,8
204,ER,High,Resolved,10,2025-06-16 01:40:19.204340,2025-06-16 04:26:51.459437,10
205,RAD,Medium,Resolved,86,2025-09-12 02:14:19.204340,2025-09-12 16:13:40.693223,3
206,CARD,Low,Resolved,91,2025-05-02 05:53:19.204340,2025-05-03 20:15:43.182491,2
207,ICU,Medium,Resolved,18,2025-04-16 23:27:19.204340,2025-04-17 06:26:59.550553,6
208,SURG,Medium,Resolved,33,2025-03-14 06:28:19.204340,2025-03-14 19:14:20.552783,10
209,ER,Low,Resolved,1,2025-06-01 23:22:19.204340,2025-06-03 03:59:06.155550,7
210,ER,Medium,Resolved,3,2025-03-24 05:49:19.204340,2025-03-24 12:18:13.990578,3
211,RAD,High,Resolved,83,2026-01-30 08:34:19.204340,2026-01-30 17:10:10.923725,5
212,OPD,Low,Resolved,46,2025-11-03 12:05:19.204340,2025-11-04 18:06:59.345674,7
213,PEDS,Low,Resolved,73,2025-10-06 05:21:19.204340,2025-10-07 17:02:49.774050,1
214,ICU,Medium,Resolved,27,2025-11-05 01:41:19.204340,2025-11-05 07:29:15.283812,8
215,CARD,High,Resolved,102,2025-04-21 23:24:19.204340,2025-04-22 01:11:27.206073,6
216,OPD,Low,Resolved,50,2025-09-03 02:25:19.204340,2025-09-04 19:47:54.795648,10
217,RAD,Low,Resolved,90,2025-05-08 01:37:19.204340,2025-05-10 01:16:50.615785,5
218,OPD,Medium,Resolved,58,2025-06-07 04:20:19.204340,2025-06-07 20:15:17.931184,1
219,OPD,High,Resolved,58,2025-03-13 00:18:19.204340,2025-03-13 02:17:59.465538,5
220,PEDS,Medium,Resolved,72,2025-06-01 00:42:19.204340,2025-06-01 15:33:53.590053,7
221,ER,Medium,Resolved,4,2025-10-07 23:00:19.204340,2025-10-08 06:42:32.220140,8
222,RAD,Medium,Resolved,88,2026-01-03 11:48:19.204340,2026-01-04 02:03:32.898900,2
223,ER,Low,Resolved,6,2025-05-22 22:14:19.204340,2025-05-25 04:22:33.578483,7
224,CARD,Medium,Resolved,94,2025-10-17 00:30:19.204340,2025-10-17 11:54:51.605444,10
225,CARD,High,Resolved,96,2025-03-26 06:05:19.204340,2025-03-26 10:18:22.462361,2
226,ICU,Medium,Resolved,27,2026-01-22 06:01:19.204340,2026-01-22 23:00:34.569745,3
227,SURG,Medium,Resolved,44,2026-01-26 05:30:19.204340,2026-01-26 16:01:52.191003,2
228,PEDS,Medium,Resolved,62,2025-06-25 02:27:19.204340,2025-06-25 12:54:42.408961,2
229,OPD,High,Resolved,58,2025-12-25 05:11:19.204340,2025-12-25 09:14:52.767136,1
230,CARD,High,Resolved,96,2025-07-31 09:15:19.204340,2025-07-31 11:09:43.066834,3
231,ICU,Medium,Resolved,27,2025-08-25 00:26:19.204340,2025-08-25 12:10:10.450878,6
232,RAD,Medium,Resolved,88,2025-05-18 05:32:19.204340,2025-05-18 22:23:20.167169,3
233,ER,High,Resolved,2,2025-06-01 22:19:19.204340,2025-06-02 12:53:11.288222,10
234,RAD,High,Resolved,86,2026-02-09 00:55:19.204340,2026-02-09 04:49:41.886469,1
235,PEDS,High,Resolved,75,2025-08-25 07:50:19.204340,2025-08-25 12:39:55.981568,1
236,PEDS,High,Resolved,62,2025-04-19 03:22:19.204340,2025-04-19 06:20:11.837696,7
237,SURG,Medium,Resolved,42,2025-03-16 03:03:19.204340,2025-03-17 02:28:17.525657,3
238,OPD,Low,Resolved,56,2026-01-09 08:31:19.204340,2026-01-11 02:19:56.252049,2
239,CARD,High,Resolved,105,2025-11-17 01:07:19.204340,2025-11-17 05:15:37.291191,5
240,CARD,Medium,Resolved,99,2025-04-17 11:57:19.204340,2025-04-17 22:49:09.149178,1
241,OPD,Medium,Resolved,50,2025-10-17 00:14:19.204340,2025-10-17 17:52:36.063229,7
242,RAD,Low,Resolved,85,2025-09-25 03:55:19.204340,2025-09-26 07:56:14.559637,2
243,SURG,Medium,Resolved,39,2025-12-22 06:59:19.204340,2025-12-22 12:19:25.853856,10
244,PEDS,Medium,Resolved,65,2025-08-23 23:47:19.204340,2025-08-24 06:54:12.304369,8
245,OPD,Low,Resolved,52,2025-07-21 07:12:19.204340,2025-07-22 03:44:57.692329,10
246,ER,High,Resolved,3,2025-04-18 06:50:19.204340,2025-04-18 08:38:04.073777,3
247,ER,Medium,Resolved,12,2025-12-12 04:47:19.204340,2025-12-12 09:36:51.623257,2
248,ICU,Medium,Resolved,26,2026-01-29 04:32:19.204340,2026-01-29 12:43:33.384962,3
249,ICU,Low,Resolved,21,2025-09-20 07:16:19.204340,2025-09-21 13:23:50.334414,4
250,ICU,Low,Resolved,25,2025-06-13 06:39:19.204340,2025-06-14 11:22:24.725768,5
251,RAD,Medium,Resolved,85,2025-10-31 00:55:19.204340,2025-10-31 02:47:33.629271,3
252,ICU,Medium,Resolved,23,2025-07-13 03:04:19.204340,2025-07-13 12:15:41.804998,8
253,SURG,High,Resolved,42,2025-10-15 11:02:19.204340,2025-10-15 11:52:39.567616,4
254,PEDS,Medium,Resolved,63,2025-12-14 01:02:19.204340,2025-12-14 09:33:09.545878,10
255,ER,High,Resolved,2,2025-07-08 05:04:19.204340,2025-07-08 06:26:29.471766,6
256,ER,Medium,Resolved,14,2025-09-10 05:48:19.204340,2025-09-10 14:55:29.760416,6
257,RAD,Low,Resolved,82,2026-02-15 18:59:19.204340,2026-02-18 04:01:14.211182,4
258,PEDS,Medium,Resolved,70,2025-12-15 07:51:19.204340,2025-12-15 21:59:01.501988,9
259,OPD,Low,Resolved,46,2025-11-25 23:57:19.204340,2025-11-27 00:28:34.719441,8
260,PEDS,High,Resolved,69,2025-12-26 02:06:19.204340,2025-12-26 08:39:51.938138,1
261,SURG,Medium,Resolved,32,2025-11-07 06:40:19.204340,2025-11-07 12:22:58.822218,6
262,CARD,Medium,Resolved,93,2025-12-27 21:24:19.204340,2025-12-29 01:56:45.486866,7
263,RAD,Low,Resolved,86,2025-10-29 00:48:19.204340,2025-10-30 05:42:11.353034,5
264,ER,Medium,Resolved,3,2025-10-21 03:02:19.204340,2025-10-21 20:13:16.886438,3
265,PEDS,Medium,Resolved,68,2025-12-25 00:16:19.204340,2025-12-25 03:07:50.769153,4
266,PEDS,Low,Resolved,67,2025-06-01 04:40:19.204340,2025-06-02 22:23:22.562977,5
267,CARD,Medium,Resolved,99,2025-10-12 05:16:19.204340,2025-10-12 12:12:03.239384,9
268,PEDS,Medium,Resolved,64,2026-02-11 20:52:19.204340,2026-02-12 01:22:37.327957,8
269,PEDS,High,Resolved,71,2025-04-19 05:26:19.204340,2025-04-19 07:09:25.839664,9
270,OPD,Medium,Resolved,53,2025-05-13 02:26:19.204340,2025-05-13 13:39:06.359431,3
271,ER,Medium,Resolved,12,2026-02-20 03:22:19.204340,2026-02-20 10:33:28.703705,3
272,ICU,Low,Resolved,25,2025-05-06 04:10:19.204340,2025-05-07 13:49:55.469428,8
273,SURG,Medium,Resolved,32,2025-03-05 23:10:19.204340,2025-03-06 02:46:30.567017,10
274,OPD,High,Resolved,59,2025-12-18 08:51:19.204340,2025-12-18 14:26:46.854228,1
275,OPD,Low,Resolved,46,2025-03-27 09:00:19.204340,2025-03-28 15:14:27.244114,8
276,PEDS,Medium,Resolved,66,2025-07-12 04:05:19.204340,2025-07-12 15:29:03.076928,4
277,CARD,High,Resolved,101,2025-10-05 01:16:19.204340,2025-10-05 03:01:10.888595,1
